event_id,member_id,event_ts,login_location,device_type,risk_level,trigger_reason,recommended_action
EVT1001,MB001,2026-02-24T11:09:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1002,MB001,2026-02-23T08:31:00,"Toronto, CA",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1005,MB001,2026-02-18T13:50:00,"Toronto, CA",MacBook,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1004,MB001,2026-02-16T18:46:00,"Berlin, DE",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1003,MB001,2026-02-04T10:55:00,"Boston, MA",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1006,MB001,2026-02-02T15:54:00,"Austin, TX",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1012,MB002,2026-02-19T09:38:00,"Boston, MA",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1011,MB002,2026-02-12T14:33:00,"Berlin, DE",Windows PC,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1008,MB002,2026-02-10T08:31:00,"Chicago, IL",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1009,MB002,2026-02-09T00:16:00,"Berlin, DE",Windows PC,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1007,MB002,2026-02-04T00:24:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1010,MB002,2026-02-01T17:42:00,"Chicago, IL",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1013,MB003,2026-02-26T04:04:00,"Chicago, IL",MacBook,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1015,MB003,2026-02-13T12:03:00,"Chicago, IL",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1014,MB003,2026-02-08T06:27:00,"San Francisco, CA",Windows PC,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1018,MB004,2026-03-01T01:14:00,"Warsaw, PL",Windows PC,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1019,MB004,2026-02-17T16:39:00,"San Francisco, CA",Android,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1017,MB004,2026-02-16T12:38:00,"San Francisco, CA",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1016,MB004,2026-02-16T06:26:00,"London, UK",MacBook,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1020,MB004,2026-02-02T07:08:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1021,MB004,2026-01-28T03:02:00,"Berlin, DE",MacBook,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1023,MB005,2026-02-26T10:24:00,"Chicago, IL",Android,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1022,MB005,2026-02-08T04:31:00,"New York, NY",iPad,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1024,MB005,2026-02-03T15:39:00,"Chicago, IL",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1025,MB005,2026-02-01T17:57:00,"Austin, TX",iPad,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1031,MB006,2026-03-02T15:34:00,"San Francisco, CA",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1026,MB006,2026-02-23T12:44:00,"Toronto, CA",Windows PC,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1030,MB006,2026-02-21T23:15:00,"New York, NY",iPad,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1028,MB006,2026-02-14T18:55:00,"New York, NY",iPad,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1027,MB006,2026-02-12T21:10:00,"New York, NY",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1029,MB006,2026-02-11T14:12:00,"Toronto, CA",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1032,MB007,2026-02-08T01:31:00,"Miami, FL",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1033,MB008,2026-02-26T09:05:00,"London, UK",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1034,MB008,2026-02-23T07:38:00,"London, UK",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1036,MB008,2026-02-19T01:22:00,"Warsaw, PL",ChromeOS,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1035,MB008,2026-02-14T18:00:00,"Berlin, DE",MacBook,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1037,MB008,2026-01-28T20:36:00,"Chicago, IL",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1038,MB009,2026-02-10T11:17:00,"Berlin, DE",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1039,MB010,2026-02-26T14:28:00,"Boston, MA",Android,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1040,MB011,2026-02-10T09:35:00,"Toronto, CA",Android,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1042,MB012,2026-02-15T19:52:00,"Warsaw, PL",Android,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1041,MB012,2026-01-28T07:30:00,"Berlin, DE",iPad,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1043,MB013,2026-02-03T23:55:00,"Warsaw, PL",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1044,MB014,2026-02-27T13:01:00,"Chicago, IL",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1048,MB014,2026-02-25T10:17:00,"Toronto, CA",iPhone,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1049,MB014,2026-02-16T06:20:00,"Warsaw, PL",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1047,MB014,2026-02-13T20:13:00,"Miami, FL",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1045,MB014,2026-02-10T08:17:00,"Miami, FL",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1046,MB014,2026-01-27T20:42:00,"New York, NY",MacBook,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1051,MB015,2026-02-07T02:57:00,"London, UK",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1050,MB015,2026-02-06T10:00:00,"New York, NY",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1053,MB016,2026-02-27T16:14:00,"Toronto, CA",iPhone,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1054,MB016,2026-02-27T16:04:00,"London, UK",iPad,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1056,MB016,2026-02-26T15:42:00,"Chicago, IL",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1055,MB016,2026-02-21T10:04:00,"Toronto, CA",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1057,MB016,2026-02-06T07:55:00,"Berlin, DE",Android,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1052,MB016,2026-01-31T06:43:00,"Miami, FL",Windows PC,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1058,MB017,2026-02-28T14:52:00,"Chicago, IL",MacBook,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1062,MB017,2026-02-25T09:30:00,"Toronto, CA",Android,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1060,MB017,2026-02-16T02:57:00,"Warsaw, PL",Android,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1061,MB017,2026-02-02T01:13:00,"Chicago, IL",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1059,MB017,2026-01-29T01:13:00,"Austin, TX",Android,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1063,MB018,2026-02-23T00:06:00,"Chicago, IL",Android,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1065,MB018,2026-02-11T13:22:00,"Chicago, IL",Android,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1064,MB018,2026-02-02T17:28:00,"Austin, TX",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1066,MB019,2026-02-22T02:43:00,"Austin, TX",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1071,MB020,2026-03-03T08:11:00,"Chicago, IL",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1068,MB020,2026-02-15T10:16:00,"Chicago, IL",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1070,MB020,2026-02-15T06:30:00,"London, UK",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1069,MB020,2026-02-14T10:30:00,"Boston, MA",Windows PC,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1067,MB020,2026-02-10T05:04:00,"Austin, TX",iPad,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1072,MB020,2026-01-28T10:47:00,"San Francisco, CA",iPad,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1074,MB021,2026-02-28T23:48:00,"Miami, FL",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1073,MB021,2026-02-04T07:39:00,"Boston, MA",Windows PC,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1077,MB022,2026-03-02T05:53:00,"San Francisco, CA",MacBook,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1075,MB022,2026-02-24T23:56:00,"Toronto, CA",MacBook,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1076,MB022,2026-02-22T03:56:00,"New York, NY",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1078,MB022,2026-02-16T02:54:00,"New York, NY",ChromeOS,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1079,MB022,2026-02-07T10:41:00,"London, UK",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1080,MB022,2026-02-02T00:04:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1081,MB023,2026-02-18T22:24:00,"San Francisco, CA",Windows PC,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1084,MB024,2026-02-15T10:42:00,"Chicago, IL",iPad,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1082,MB024,2026-02-08T14:07:00,"Toronto, CA",MacBook,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1083,MB024,2026-01-28T00:42:00,"Boston, MA",iPhone,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1085,MB025,2026-02-10T21:07:00,"Berlin, DE",iPad,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1086,MB025,2026-02-06T16:20:00,"Miami, FL",Windows PC,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1087,MB025,2026-02-04T11:57:00,"Toronto, CA",iPad,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1088,MB026,2026-02-18T23:35:00,"Warsaw, PL",iPhone,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1091,MB026,2026-02-18T21:39:00,"Warsaw, PL",ChromeOS,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1092,MB026,2026-02-11T22:09:00,"Toronto, CA",iPhone,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1089,MB026,2026-02-10T13:22:00,"Chicago, IL",ChromeOS,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1090,MB026,2026-02-05T00:52:00,"Warsaw, PL",ChromeOS,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1093,MB026,2026-02-03T16:13:00,"Berlin, DE",ChromeOS,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1096,MB027,2026-02-26T03:59:00,"Austin, TX",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1095,MB027,2026-02-26T02:19:00,"Toronto, CA",ChromeOS,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1097,MB027,2026-02-22T11:10:00,"Boston, MA",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1094,MB027,2026-02-17T18:34:00,"London, UK",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1098,MB028,2026-02-26T20:28:00,"Warsaw, PL",ChromeOS,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1099,MB028,2026-02-18T12:14:00,"Warsaw, PL",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1101,MB028,2026-02-17T06:00:00,"Toronto, CA",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1102,MB028,2026-02-16T07:52:00,"London, UK",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1100,MB028,2026-02-16T06:58:00,"Boston, MA",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1107,MB029,2026-02-27T02:15:00,"Miami, FL",Windows PC,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1105,MB029,2026-01-31T20:39:00,"Austin, TX",Android,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1104,MB029,2026-01-29T21:27:00,"Toronto, CA",MacBook,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1106,MB029,2026-01-28T19:28:00,"Miami, FL",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1103,MB029,2026-01-28T16:56:00,"Berlin, DE",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1108,MB029,2026-01-28T09:15:00,"New York, NY",Android,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1109,MB030,2026-02-22T04:42:00,"Chicago, IL",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1111,MB030,2026-02-17T21:40:00,"Warsaw, PL",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1110,MB030,2026-02-09T17:29:00,"London, UK",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1112,MB030,2026-02-06T19:44:00,"Boston, MA",Windows PC,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1116,MB031,2026-02-22T14:46:00,"Toronto, CA",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1114,MB031,2026-02-17T02:42:00,"Warsaw, PL",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1115,MB031,2026-02-07T00:32:00,"Warsaw, PL",ChromeOS,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1113,MB031,2026-01-27T17:22:00,"Berlin, DE",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1117,MB032,2026-03-02T09:09:00,"Warsaw, PL",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1118,MB032,2026-02-20T10:18:00,"Austin, TX",MacBook,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1120,MB032,2026-02-15T09:13:00,"London, UK",iPhone,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1119,MB032,2026-02-11T00:29:00,"Warsaw, PL",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1121,MB032,2026-02-09T04:21:00,"Chicago, IL",ChromeOS,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1122,MB033,2026-02-16T05:12:00,"Boston, MA",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1123,MB034,2026-02-22T19:51:00,"Chicago, IL",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1124,MB034,2026-02-01T12:08:00,"Austin, TX",Windows PC,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1126,MB035,2026-03-02T01:22:00,"Berlin, DE",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1125,MB035,2026-02-24T06:25:00,"Austin, TX",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1129,MB035,2026-02-23T16:41:00,"Boston, MA",Windows PC,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1128,MB035,2026-02-16T08:32:00,"Austin, TX",ChromeOS,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1127,MB035,2026-02-06T05:14:00,"Chicago, IL",iPad,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1133,MB036,2026-02-13T14:59:00,"Toronto, CA",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1130,MB036,2026-02-08T09:39:00,"Toronto, CA",ChromeOS,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1131,MB036,2026-02-04T19:17:00,"Chicago, IL",MacBook,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1132,MB036,2026-02-02T06:47:00,"Warsaw, PL",Android,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1136,MB037,2026-03-01T19:08:00,"San Francisco, CA",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1137,MB037,2026-02-17T23:54:00,"Austin, TX",Windows PC,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1135,MB037,2026-02-15T20:09:00,"Berlin, DE",iPad,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1134,MB037,2026-02-14T01:00:00,"Miami, FL",iPhone,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1141,MB038,2026-03-02T08:50:00,"Austin, TX",Android,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1139,MB038,2026-02-26T03:46:00,"Warsaw, PL",MacBook,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1142,MB038,2026-02-16T01:33:00,"Berlin, DE",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1140,MB038,2026-02-15T12:26:00,"London, UK",ChromeOS,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1138,MB038,2026-02-13T17:02:00,"Boston, MA",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1143,MB038,2026-01-29T00:16:00,"Warsaw, PL",ChromeOS,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1145,MB039,2026-02-24T05:26:00,"San Francisco, CA",iPhone,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1146,MB039,2026-02-20T05:28:00,"Miami, FL",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1144,MB039,2026-02-08T12:01:00,"London, UK",Windows PC,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1148,MB040,2026-02-13T04:15:00,"San Francisco, CA",Android,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1147,MB040,2026-01-28T15:38:00,"Austin, TX",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1149,MB040,2026-01-28T07:41:00,"Austin, TX",iPhone,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1151,MB041,2026-02-25T11:35:00,"Berlin, DE",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1153,MB041,2026-02-14T19:42:00,"Chicago, IL",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1150,MB041,2026-02-12T12:12:00,"New York, NY",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1152,MB041,2026-01-31T20:58:00,"San Francisco, CA",Android,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1154,MB041,2026-01-31T09:29:00,"Berlin, DE",ChromeOS,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1155,MB042,2026-02-12T09:06:00,"Miami, FL",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1156,MB042,2026-02-04T15:19:00,"Berlin, DE",iPad,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1159,MB043,2026-02-25T04:55:00,"Miami, FL",Windows PC,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1160,MB043,2026-02-16T06:05:00,"Toronto, CA",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1158,MB043,2026-02-11T16:36:00,"Berlin, DE",iPhone,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1157,MB043,2026-02-02T20:54:00,"Austin, TX",iPad,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1161,MB044,2026-02-04T20:38:00,"Berlin, DE",MacBook,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1163,MB045,2026-02-14T14:40:00,"Berlin, DE",ChromeOS,High,Unusual location,"Change password immediately, enable MFA, and contact support."
EVT1162,MB045,2026-02-12T12:01:00,"London, UK",iPhone,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1164,MB045,2026-01-28T04:20:00,"New York, NY",Windows PC,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1165,MB046,2026-02-28T06:21:00,"Austin, TX",iPad,High,Password reset followed by sign-in,"Change password immediately, enable MFA, and contact support."
EVT1168,MB047,2026-02-25T15:36:00,"Boston, MA",MacBook,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1167,MB047,2026-02-13T18:56:00,"Toronto, CA",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1166,MB047,2026-02-03T07:46:00,"London, UK",ChromeOS,Medium,Multiple failed login attempts,Review recent activity and confirm device; consider enabling MFA.
EVT1169,MB048,2026-03-02T08:53:00,"Miami, FL",ChromeOS,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1170,MB048,2026-03-01T13:04:00,"Austin, TX",iPad,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1171,MB048,2026-02-19T19:57:00,"Toronto, CA",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1173,MB049,2026-02-25T19:58:00,"San Francisco, CA",MacBook,High,Multiple failed login attempts,"Change password immediately, enable MFA, and contact support."
EVT1174,MB049,2026-02-25T06:31:00,"San Francisco, CA",MacBook,Medium,Password reset followed by sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1172,MB049,2026-02-19T16:02:00,"Warsaw, PL",ChromeOS,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1178,MB050,2026-02-28T05:36:00,"Toronto, CA",Windows PC,Low,Known device,No immediate action needed; optionally review recent activity.
EVT1180,MB050,2026-02-13T17:16:00,"New York, NY",Windows PC,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1176,MB050,2026-02-11T03:24:00,"San Francisco, CA",iPhone,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
EVT1175,MB050,2026-02-05T17:14:00,"Boston, MA",MacBook,Medium,New device sign-in,Review recent activity and confirm device; consider enabling MFA.
EVT1179,MB050,2026-01-30T14:40:00,"London, UK",iPhone,Medium,Unusual location,Review recent activity and confirm device; consider enabling MFA.
EVT1177,MB050,2026-01-30T11:58:00,"Toronto, CA",MacBook,High,Impossible travel detected,"Change password immediately, enable MFA, and contact support."
